Date,open,high,low,close,volume
2021-01-21,211.72,211.93,206.34,207.41,11119827.0
2021-01-22,205.55,206.7,204.27,205.84,7514630.0
2021-01-25,203.27,203.8,199.3,203.36,14276235.0
2021-01-26,205.34,208.35,201.79,202.06,11011763.0
2021-01-27,196.9,199.47,191.85,194.03,20948458.0
2021-01-28,198.05,200.42,196.0,197.23,10403214.0
2021-01-29,198.3,201.57,193.12,194.19,13683736.0
2021-02-01,196.0,197.38,192.86,195.84,9061904.0
2021-02-02,198.98,203.03,198.09,200.94,11130617.0
2021-02-03,202.0,208.16,201.26,207.39,11836856.0
2021-02-04,209.87,212.48,208.02,210.64,11869930.0
2021-02-05,212.25,213.2,206.66,207.93,9546076.0
2021-02-08,209.55,211.99,208.3,211.95,11182088.0
2021-02-09,210.6,216.73,208.9,215.12,13615661.0
2021-02-10,215.65,217.49,211.12,211.92,11510719.0
2021-02-11,212.24,213.99,208.57,210.66,7140235.0
2021-02-12,210.36,213.16,209.67,210.98,6010791.0
2021-02-16,213.08,217.4,212.33,217.18,10171133.0
2021-02-17,215.52,218.71,212.68,215.52,9295592.0
2021-02-18,213.45,214.34,208.08,208.48,9121302.0
2021-02-19,209.97,217.64,209.15,217.47,12415284.0
2021-02-22,211.89,220.39,210.8,212.88,21413745.0
2021-02-23,214.15,214.75,206.6,212.12,15996695.0
2021-02-24,212.1,229.61,211.6,229.34,30709277.0
2021-02-25,227.8,228.5,214.71,216.45,19283014.0
2021-02-26,218.51,220.66,211.29,212.01,12838426.0
2021-03-01,219.6,226.98,219.02,224.39,18735442.0
2021-03-02,224.79,227.19,222.15,223.14,11114402.0
2021-03-03,226.36,235.4,225.04,228.56,30426042.0
2021-03-04,232.73,237.1,218.7,224.71,26645062.0
2021-03-05,229.01,229.92,213.8,223.22,20026576.0
2021-03-08,226.67,229.89,223.71,224.03,13836761.0
2021-03-09,226.81,234.06,222.58,230.61,21001194.0
2021-03-10,233.81,246.8,232.88,245.34,27753366.0
2021-03-11,248.77,256.65,246.55,252.0,30139245.0
2021-03-12,253.86,269.72,253.5,269.19,35264331.0
2021-03-15,274.15,278.57,264.33,265.63,34889116.0
2021-03-16,263.23,264.17,254.02,255.21,28785798.0
2021-03-17,254.7,263.61,253.68,263.59,23785524.0
2021-03-18,261.32,267.37,254.73,256.06,24595516.0
2021-03-19,257.75,258.88,251.31,255.82,17330779.0
2021-03-22,255.82,257.67,250.16,251.23,15230028.0
2021-03-23,249.26,251.3,239.43,241.25,21358225.0
2021-03-24,243.75,248.8,239.06,239.24,24055110.0
2021-03-25,234.34,247.58,231.7,247.19,27553588.0
2021-03-26,249.62,250.9,240.3,244.87,17157068.0
2021-03-29,251.3,254.71,248.03,250.52,22198781.0
2021-03-30,251.24,253.5,248.91,252.01,12577251.0
2021-03-31,254.7,257.88,253.36,254.72,14138489.0
2021-04-01,256.67,257.88,251.31,252.96,10934489.0
2021-04-05,256.56,260.48,256.25,259.36,13750297.0
2021-04-06,257.21,259.35,254.66,255.17,11180296.0
2021-04-07,255.31,255.9,250.83,252.58,9925745.0
2021-04-08,251.7,254.95,249.31,254.95,9899948.0
2021-04-09,250.51,252.84,249.44,252.36,12255890.0
2021-04-12,250.57,251.55,246.29,249.52,10383610.0
2021-04-13,248.33,254.49,246.1,253.27,15901401.0
2021-04-14,255.32,258.37,251.28,252.43,12661806.0
2021-04-15,253.56,254.12,249.43,251.11,9479008.0
2021-04-16,252.0,253.05,246.23,248.18,14605952.0
2021-04-19,247.0,247.0,242.22,244.15,9249340.0
2021-04-20,241.03,241.09,232.34,234.06,19483582.0
2021-04-21,232.22,236.76,230.22,235.92,12847033.0
2021-04-22,235.96,239.65,233.38,234.33,13854396.0
2021-04-23,233.89,238.58,233.11,238.38,11553322.0
2021-04-26,240.24,244.65,240.1,241.44,10599561.0
2021-04-27,241.88,243.49,239.41,242.47,10583259.0
2021-04-28,239.0,239.65,232.85,235.46,19054131.0
2021-04-29,237.0,237.68,231.8,235.94,12296078.0
2021-04-30,233.68,236.77,232.7,234.31,10380437.0
2021-05-03,234.11,237.1,233.81,235.19,9887848.0
2021-05-04,235.75,236.65,225.65,233.63,17807207.0
2021-05-05,232.45,233.49,227.56,228.18,14826338.0
2021-05-06,229.3,231.17,226.55,229.81,11857109.0
2021-05-07,229.8,235.91,227.99,235.47,12822993.0
2021-05-10,236.84,241.1,232.5,232.93,14813935.0
2021-05-11,226.56,230.13,223.85,228.88,16273165.0
2021-05-12,227.25,229.74,220.63,220.78,14931188.0
2021-05-13,223.0,229.27,219.07,222.64,16503373.0
2021-05-14,225.99,228.81,224.35,228.47,10162396.0
2021-05-17,226.24,228.26,223.58,227.98,9559323.0
2021-05-18,227.25,232.27,226.43,227.55,10081074.0
2021-05-19,223.18,225.12,220.28,224.42,13162733.0
2021-05-20,225.13,228.44,223.77,227.65,9218913.0
2021-05-21,232.9,236.3,231.39,234.82,16578995.0
2021-05-24,235.14,238.5,232.6,237.44,10105966.0
2021-05-25,240.0,243.78,239.23,240.74,12908035.0
2021-05-26,241.7,242.49,239.87,241.37,7240189.0
2021-05-27,248.11,252.6,247.19,250.7,18404388.0
2021-05-28,247.48,248.98,245.37,247.02,11197398.0
2021-06-01,253.0,255.64,251.52,254.73,13562787.0
2021-06-02,255.6,258.4,254.62,255.62,10820398.0
2021-06-03,252.98,254.8,249.69,250.32,10401952.0
2021-06-04,251.51,251.8,248.49,249.92,8798961.0
2021-06-07,251.5,253.2,248.81,252.66,10605972.0
2021-06-08,256.26,256.31,250.0,252.76,15113870.0
2021-06-09,251.2,253.17,247.91,248.06,10693220.0
2021-06-10,251.72,255.14,248.1,248.34,14519161.0
2021-06-11,250.35,251.12,245.78,247.28,9934179.0
2021-06-14,246.44,249.2,244.4,245.14,9344427.0
2021-06-15,245.36,248.51,244.94,246.54,10630916.0
2021-06-16,245.25,246.06,241.55,242.27,10529196.0
2021-06-17,241.96,243.5,237.33,239.22,10774398.0
2021-06-18,237.79,239.31,235.8,237.35,11965015.0
2021-06-21,238.66,245.62,237.25,245.28,15301780.0
2021-06-22,244.5,244.63,241.08,243.78,10042509.0
2021-06-23,244.8,246.87,243.17,243.57,9874664.0
2021-06-24,245.2,250.74,243.7,250.57,13755551.0
2021-06-25,250.75,252.3,248.25,248.38,9625783.0
2021-06-28,244.73,245.08,238.88,239.96,18151979.0
2021-06-29,243.74,244.37,235.66,235.76,16743926.0
2021-06-30,236.24,241.17,236.0,239.56,12089069.0
2021-07-01,240.36,241.8,238.61,239.73,9516185.0
2021-07-02,239.55,240.11,233.47,236.68,15722452.0
2021-07-06,236.85,237.17,233.47,236.14,11045802.0
2021-07-07,235.17,238.01,230.52,231.78,11497000.0
2021-07-08,227.48,237.47,226.16,236.77,17964250.0
2021-07-09,237.77,240.38,236.22,239.59,12385382.0
2021-07-12,237.99,240.77,236.46,238.29,9071492.0
2021-07-13,232.27,234.49,228.16,228.2,21029504.0
2021-07-14,229.02,230.52,224.3,224.45,12137004.0
2021-07-15,222.88,226.67,220.8,222.76,12228645.0
2021-07-16,223.11,224.0,217.03,217.74,12413422.0
2021-07-19,211.18,211.55,204.8,206.99,24123597.0
2021-07-20,208.1,217.37,206.62,217.15,17027300.0
2021-07-21,219.5,224.09,218.9,222.54,11437567.0
2021-07-22,221.52,222.25,218.31,220.87,9768898.0
2021-07-23,222.97,224.63,220.94,221.52,9379453.0
2021-07-26,220.0,226.12,219.89,225.85,8933194.0
2021-07-27,223.17,225.7,220.42,222.27,8784223.0
2021-07-28,234.05,237.49,231.33,231.57,19330500.0
2021-07-29,233.69,234.82,231.12,231.63,8667869.0
2021-07-30,229.39,231.18,225.4,226.48,9940082.0
2021-08-02,227.19,230.47,224.87,225.34,8889125.0
2021-08-03,225.9,229.1,221.3,229.09,7326398.0
2021-08-04,226.42,232.35,225.33,226.63,9756279.0
2021-08-05,226.68,231.54,226.49,229.94,8362602.0
2021-08-06,231.55,233.57,230.42,231.33,6061935.0
2021-08-09,229.0,233.57,226.89,232.27,8358622.0
2021-08-10,231.97,236.85,231.62,235.78,9603454.0
2021-08-11,236.61,239.59,234.58,239.49,9663966.0
2021-08-12,240.0,241.15,236.51,238.18,6816343.0
2021-08-13,238.01,239.69,234.28,234.46,6390338.0
2021-08-16,231.9,232.03,227.14,229.06,7626887.0
2021-08-17,226.2,226.24,219.8,222.22,13123951.0
2021-08-18,221.73,223.65,218.9,219.0,9000859.0
2021-08-19,216.3,218.3,211.73,212.16,11404356.0
2021-08-20,212.31,214.74,210.94,212.67,9335698.0
2021-08-23,215.83,220.18,215.38,219.4,10392069.0
2021-08-24,220.11,223.1,219.8,221.43,8942578.0
2021-08-25,221.5,222.3,219.1,221.03,6528930.0
2021-08-26,221.41,222.9,215.91,216.5,8341440.0
2021-08-27,217.47,222.43,216.86,221.75,7684922.0
2021-08-30,222.35,222.37,217.53,217.66,7587846.0
2021-08-31,217.33,221.33,217.09,219.5,6764472.0
2021-09-01,220.0,221.76,217.62,218.12,7157411.0
2021-09-02,218.95,223.84,218.08,220.83,8905096.0
2021-09-03,219.45,221.18,217.46,218.17,6400289.0
2021-09-07,215.91,216.71,212.17,214.24,13196121.0
2021-09-08,213.6,216.08,210.51,211.38,8877646.0
2021-09-09,211.15,216.61,210.72,213.94,9242766.0
2021-09-10,215.16,215.89,210.12,210.3,6959706.0
2021-09-13,211.35,215.64,209.88,214.48,10175861.0
2021-09-14,215.84,216.11,210.71,211.57,9947021.0
2021-09-15,211.79,214.35,210.32,214.22,7916346.0
2021-09-16,213.96,216.31,213.31,213.36,6370944.0
2021-09-17,213.12,215.37,211.91,213.36,7944216.0
2021-09-20,210.81,212.43,206.53,209.5,10567364.0
2021-09-21,210.25,211.76,207.72,208.51,7139027.0
2021-09-22,210.0,217.99,209.65,216.98,10953034.0
2021-09-23,217.81,222.62,217.15,221.1,9344582.0
2021-09-24,219.13,222.41,218.66,221.39,6498169.0
2021-09-27,224.0,228.6,223.88,224.16,9749201.0
2021-09-28,222.9,224.58,216.42,218.41,9639787.0
2021-09-29,227.8,229.94,224.86,225.36,16808041.0
2021-09-30,226.08,226.15,219.46,219.94,10366948.0
2021-10-01,222.85,226.72,220.6,226.0,9113628.0
2021-10-04,225.68,227.97,222.0,223.79,6946121.0
2021-10-05,224.27,226.45,222.42,224.42,5687275.0
2021-10-06,221.08,225.07,219.2,224.99,7157571.0
2021-10-07,227.34,229.0,225.9,226.48,7748521.0
2021-10-08,226.75,228.71,225.4,226.39,4515032.0
2021-10-11,226.5,232.1,225.32,226.45,7287044.0
2021-10-12,226.0,228.66,223.12,223.57,8486823.0
2021-10-13,224.0,224.3,219.36,221.78,8240198.0
2021-10-14,221.07,222.18,217.04,217.44,10427321.0
2021-10-15,218.17,219.61,216.28,217.04,8773359.0
2021-10-18,216.0,217.28,214.05,216.98,6553519.0
2021-10-19,217.47,217.66,215.28,215.97,5963390.0
2021-10-20,215.49,218.66,214.35,216.17,8485162.0
2021-10-21,216.54,218.11,213.81,214.34,8691450.0
2021-10-22,214.6,216.72,212.58,212.97,7077636.0
2021-10-25,213.25,213.98,211.7,212.87,7239142.0
2021-10-26,213.19,214.85,208.18,209.81,11014461.0
2021-10-27,212.85,212.9,205.64,206.61,14761728.0
2021-10-28,206.0,208.74,204.6,207.85,8825454.0
2021-10-29,206.84,208.24,205.29,207.03,8559535.0
2021-11-01,207.0,214.69,206.81,214.58,9284925.0
2021-11-02,213.83,215.72,210.7,212.77,6160169.0
2021-11-03,211.47,213.76,210.87,213.38,4636071.0
2021-11-04,213.8,214.82,211.87,213.03,5849588.0
2021-11-05,217.7,224.58,217.7,224.46,16936327.0
2021-11-08,225.24,226.99,222.11,222.68,9456055.0
2021-11-09,222.49,222.85,217.54,220.79,6863672.0
2021-11-10,219.36,225.68,217.27,218.5,8197584.0
2021-11-11,220.5,222.65,218.9,219.38,6567341.0
2021-11-12,219.72,223.75,218.9,220.96,6419877.0
2021-11-15,227.37,233.94,226.92,233.09,21921856.0
2021-11-16,232.94,232.95,225.51,225.8,10120193.0
2021-11-17,229.54,231.32,224.2,226.62,10750940.0
2021-11-18,230.3,231.5,224.95,227.25,10983711.0
2021-11-19,225.07,225.33,213.23,214.13,20844074.0
2021-11-22,215.0,215.02,208.95,209.9,10764317.0
2021-11-23,211.5,212.99,207.77,209.13,8882817.0
2021-11-24,207.52,211.22,206.87,210.6,5437620.0
2021-11-26,197.57,199.42,194.0,199.21,17636637.0
2021-11-29,201.87,204.28,195.33,198.5,12276237.0
2021-11-30,196.02,198.82,193.85,197.85,12638924.0
2021-12-01,200.81,201.62,188.0,188.19,13321994.0
2021-12-02,196.8,202.54,192.41,202.38,20435443.0
2021-12-03,198.7,199.9,195.42,198.49,10742710.0
2021-12-06,199.77,206.42,199.2,205.88,11587882.0
2021-12-07,207.06,211.65,206.38,208.83,10387919.0
2021-12-08,209.18,212.68,207.71,211.03,6986783.0
2021-12-09,207.53,208.55,205.2,207.56,7011011.0
2021-12-10,208.81,209.0,203.48,205.06,6040048.0
2021-12-13,202.5,202.81,195.55,197.4,10619582.0
2021-12-14,195.6,200.5,195.18,195.5,8445068.0
2021-12-15,195.28,196.58,190.32,195.43,10535864.0
2021-12-16,197.0,198.32,190.44,190.79,8216806.0
2021-12-17,190.27,194.77,187.88,192.63,12642000.0
2021-12-20,188.11,190.36,185.26,188.48,10256377.0
2021-12-21,190.28,199.69,190.04,199.52,12082319.0
2021-12-22,199.46,202.93,197.94,201.69,8145344.0
2021-12-23,202.13,205.13,201.32,204.22,7415194.0
2021-12-27,201.99,203.43,199.1,203.17,7826624.0
2021-12-28,202.23,208.94,201.65,206.13,8885989.0
2021-12-29,205.36,205.41,202.6,203.66,6119004.0
2021-12-30,203.0,206.0,202.6,202.71,7012644.0
2021-12-31,202.2,203.69,200.03,201.32,8052980.0
2022-01-03,204.0,210.55,203.34,207.86,9074592.0
2022-01-04,211.3,214.56,209.78,213.63,11414562.0
2022-01-05,216.64,218.93,211.81,213.07,11564732.0
2022-01-06,214.64,216.0,207.86,211.34,7142191.0
2022-01-07,212.98,218.32,212.38,215.5,9526395.0
2022-01-10,214.26,215.28,207.13,209.31,8229019.0
2022-01-11,209.0,217.03,208.41,216.02,8098367.0
2022-01-12,217.09,221.24,216.3,217.45,9134501.0
2022-01-13,222.25,226.89,220.05,223.9,17628012.0
2022-01-14,222.16,226.2,220.25,225.96,8053460.0
2022-01-18,224.5,229.67,224.26,225.01,8947332.0
2022-01-19,225.1,225.42,216.94,217.08,9382827.0
2022-01-20,217.38,221.95,213.42,214.19,7636803.0
2022-01-21,213.79,213.79,204.57,205.44,11548497.0
2022-01-24,199.85,204.8,192.51,204.2,13810337.0
2022-01-25,200.1,205.63,197.55,204.1,8824460.0
2022-01-26,206.21,206.21,191.92,194.27,19974396.0
2022-01-27,196.38,199.71,188.64,189.75,12670070.0
2022-01-28,188.78,190.72,183.77,190.57,10966711.0
2022-01-31,190.73,200.34,190.0,200.24,15504556.0
2022-02-01,202.48,208.89,200.5,208.34,12265145.0
2022-02-02,205.43,208.39,203.21,207.52,7843739.0
2022-02-03,206.06,209.1,204.26,206.39,7054722.0
2022-02-04,205.0,208.25,203.1,206.45,5952563.0
2022-02-07,205.79,214.37,205.42,211.92,11816911.0
2022-02-08,212.68,213.87,209.69,213.27,7356230.0
2022-02-09,214.91,217.04,213.3,215.86,7587730.0
2022-02-10,213.71,223.23,213.7,218.75,11695860.0
2022-02-11,217.87,221.42,210.27,212.3,11443738.0
2022-02-14,213.0,215.63,208.76,210.04,6481404.0
2022-02-15,214.84,219.54,213.69,217.73,10461008.0
2022-02-16,216.1,219.68,215.28,218.93,5698917.0
2022-02-17,218.47,218.58,212.67,213.58,6176575.0
2022-02-18,212.56,214.73,208.6,209.03,6973602.0
2022-02-22,205.0,206.9,197.82,198.74,10382141.0
2022-02-23,201.13,203.25,195.91,196.42,7326312.0
2022-02-24,189.29,198.86,186.88,198.43,12207625.0
2022-02-25,201.09,204.07,199.1,201.48,8730302.0
2022-02-28,198.58,207.31,196.75,205.34,9859273.0
2022-03-01,203.11,203.5,192.93,194.91,11799494.0
2022-03-02,196.27,199.85,194.64,197.81,7463406.0
2022-03-03,197.94,198.5,188.71,188.85,12424491.0
2022-03-04,187.37,188.32,178.97,180.84,13104580.0
2022-03-07,181.03,182.72,169.06,169.17,12847456.0
2022-03-08,169.73,180.82,167.58,173.8,13715459.0
2022-03-09,179.8,182.87,177.41,178.56,10062148.0
2022-03-10,175.76,182.02,175.39,178.39,8364100.0
2022-03-11,183.59,184.86,175.95,176.23,9373598.0
2022-03-14,175.88,178.23,172.57,175.52,8138882.0
2022-03-15,176.3,180.5,175.6,179.89,8051498.0
2022-03-16,183.39,189.6,182.3,188.99,12077525.0
2022-03-17,186.36,190.24,185.27,190.19,8126616.0
2022-03-18,192.07,193.38,190.1,192.83,12849575.0
2022-03-21,184.4,187.27,180.61,185.9,27369582.0
2022-03-22,185.24,192.86,184.52,191.04,14378472.0
2022-03-23,189.67,190.16,185.03,186.04,8297782.0
2022-03-24,186.35,189.19,184.72,189.05,7094360.0
2022-03-25,187.76,191.7,186.93,188.95,6370952.0
2022-03-28,188.43,189.26,184.47,188.16,6904146.0
2022-03-29,191.62,196.36,191.2,193.8,8438704.0
2022-03-30,192.32,197.45,191.36,194.91,9959326.0
2022-03-31,195.0,197.58,191.45,191.5,6447933.0
2022-04-01,192.58,192.62,188.78,190.76,4862109.0
2022-04-04,190.02,191.84,186.91,191.18,7799600.0
2022-04-05,189.7,192.35,182.52,182.65,9371632.0
2022-04-06,180.4,180.57,176.58,178.72,8173868.0
2022-04-07,178.13,178.66,173.87,177.97,7517791.0
2022-04-08,176.54,178.13,174.24,175.2,6524064.0
2022-04-11,173.84,179.67,173.4,175.03,6001124.0
2022-04-12,175.5,178.5,174.53,176.28,6125106.0
2022-04-13,176.96,183.46,176.96,182.87,7399856.0
2022-04-14,182.75,185.54,181.64,181.94,5144620.0
2022-04-18,181.45,182.46,178.55,179.85,5042585.0
2022-04-19,180.36,187.61,180.28,185.98,7485607.0
2022-04-20,187.24,187.34,182.86,183.55,6824287.0
2022-04-21,188.73,189.85,180.55,181.02,7446130.0
2022-04-22,180.78,182.67,176.5,176.92,6372406.0
2022-04-25,174.51,176.08,172.45,175.91,6293100.0
2022-04-26,174.76,174.87,166.85,167.04,9277309.0
2022-04-27,161.25,161.25,146.0,154.46,40371727.0
2022-04-28,156.61,156.79,149.0,154.22,13518816.0
2022-04-29,153.44,157.03,148.52,148.84,10896594.0
2022-05-02,148.02,149.45,143.38,148.61,12399196.0
2022-05-03,149.09,154.45,147.91,153.58,10149453.0
2022-05-04,152.91,157.14,150.77,156.97,9550623.0
2022-05-05,155.69,157.99,149.05,150.47,7950792.0
2022-05-06,149.96,150.9,145.85,148.9,7697850.0
2022-05-09,146.0,146.95,132.65,133.31,12593832.0
2022-05-10,136.76,137.84,130.33,132.95,11781424.0
2022-05-11,132.95,138.96,129.11,129.39,11388355.0
2022-05-12,126.89,128.53,120.28,123.14,15891332.0
2022-05-13,124.98,130.8,122.38,127.2,20891522.0
2022-05-16,127.05,131.12,122.35,124.05,10631557.0
2022-05-17,126.91,132.83,125.79,132.05,12154220.0
2022-05-18,130.34,132.1,124.36,125.52,9567609.0
2022-05-19,124.4,128.4,123.7,127.14,8075776.0
2022-05-20,128.77,128.85,117.08,120.7,18822241.0
2022-05-23,121.7,124.48,120.34,124.07,9341490.0
2022-05-24,122.44,122.7,117.29,119.4,9092426.0
2022-05-25,119.17,122.6,118.76,122.06,7707912.0
2022-05-26,123.1,128.84,122.74,127.73,8333861.0
2022-05-27,128.77,132.23,128.32,132.23,7261516.0
2022-05-31,131.03,132.99,128.86,131.4,7953651.0
2022-06-01,133.0,134.33,127.01,130.65,9991563.0
2022-06-02,132.14,140.55,131.87,140.5,12777039.0
2022-06-03,138.52,140.7,137.59,139.25,10091798.0
2022-06-06,139.99,141.14,136.83,139.24,6354823.0
2022-06-07,137.49,141.24,135.91,140.82,5436085.0
2022-06-08,139.13,142.21,138.44,139.63,5833696.0
2022-06-09,139.35,139.66,133.7,133.73,6018982.0
2022-06-10,130.27,132.19,126.85,127.0,7776856.0
2022-06-13,123.0,123.25,114.14,115.86,16778494.0
2022-06-14,116.65,122.19,113.02,122.16,17549811.0
2022-06-15,124.35,134.99,123.83,133.72,25997847.0
2022-06-16,131.7,135.34,131.26,133.36,19543638.0
2022-06-17,132.25,138.98,131.5,136.8,16042484.0
2022-06-21,139.17,140.94,135.84,136.75,10519904.0
2022-06-22,134.03,138.79,133.28,137.16,7717692.0
2022-06-23,136.42,137.42,130.09,133.97,10746906.0
2022-06-24,135.01,141.87,134.95,141.53,13626216.0
2022-06-27,140.28,140.57,136.22,138.72,8457424.0
2022-06-28,140.89,147.18,138.54,138.7,12142256.0
2022-06-29,138.61,138.92,134.84,138.45,7489226.0
2022-06-30,134.3,137.49,131.6,136.72,8455129.0
2022-07-01,135.88,141.79,135.4,139.84,7627130.0
2022-07-05,136.25,138.07,131.29,137.7,10073971.0
2022-07-06,137.54,138.71,134.46,136.31,6608039.0
2022-07-07,137.93,142.28,137.9,139.97,7674390.0
2022-07-08,139.7,140.74,137.37,139.07,5655499.0
2022-07-11,137.77,139.24,134.89,136.99,6180548.0
2022-07-12,136.86,149.32,136.81,147.15,18598189.0
2022-07-13,142.79,146.41,142.18,143.95,9038684.0
2022-07-14,141.11,147.49,140.61,147.15,9456114.0
2022-07-15,149.17,149.74,144.65,147.74,7910408.0
2022-07-18,153.31,155.94,147.2,147.72,13948498.0
2022-07-19,149.61,156.28,148.97,156.13,14182970.0
2022-07-20,156.0,159.4,154.26,158.38,8668596.0
2022-07-21,158.89,161.66,156.19,161.41,8044091.0
2022-07-22,161.8,163.34,157.77,158.16,7594878.0
2022-07-25,156.94,157.31,152.84,156.64,5764734.0
2022-07-26,155.24,158.18,154.5,155.92,6053054.0
2022-07-27,161.12,162.74,152.8,156.09,16356645.0
2022-07-28,154.02,160.1,153.03,159.09,8729065.0
2022-07-29,157.95,159.84,155.54,159.31,5743489.0
2022-08-01,165.95,171.76,164.25,169.07,18321564.0
2022-08-02,167.0,167.33,163.14,163.28,10874319.0
2022-08-03,164.51,167.52,162.33,166.64,6709072.0
2022-08-04,165.77,168.12,164.41,166.5,5039567.0
2022-08-05,164.4,167.07,163.93,165.04,4709123.0
2022-08-08,166.41,171.09,164.71,165.89,11311693.0
2022-08-09,166.51,166.51,163.45,164.85,6064750.0
2022-08-10,168.35,171.14,167.25,169.02,7181681.0
2022-08-11,170.5,171.76,167.05,167.88,4996809.0
2022-08-12,168.39,170.11,167.57,169.99,4345220.0
2022-08-15,169.29,172.55,168.32,170.47,4734688.0
2022-08-16,170.0,173.85,169.15,172.08,5259589.0
2022-08-17,169.61,169.85,166.09,167.2,6533521.0
2022-08-18,167.2,169.18,165.77,168.69,4404601.0
2022-08-19,166.33,166.84,162.58,162.92,5736069.0
2022-08-22,159.4,160.27,157.91,158.98,5312327.0
2022-08-23,159.14,161.69,159.08,160.07,3425179.0
2022-08-24,162.27,164.14,161.38,163.6,4211287.0
2022-08-25,164.56,169.65,163.7,169.38,4949408.0
2022-08-26,170.0,171.37,164.27,164.53,4957414.0
2022-08-29,162.28,166.9,162.2,165.42,4727621.0
2022-08-30,167.27,169.92,160.72,162.21,6248628.0
2022-08-31,163.0,163.55,160.14,160.25,4123490.0
2022-09-01,158.0,158.9,150.82,153.66,7651999.0
2022-09-02,155.19,156.99,151.48,151.82,5262774.0
2022-09-06,152.39,154.48,150.46,152.39,5210472.0
2022-09-07,151.26,156.35,150.87,155.95,5298579.0
2022-09-08,155.0,158.3,153.84,157.79,4949112.0
2022-09-09,158.0,159.75,156.95,157.52,5782876.0
2022-09-12,158.46,160.97,157.45,158.72,5363130.0
2022-09-13,153.6,155.19,147.13,147.31,8724873.0
2022-09-14,146.9,149.7,144.3,149.26,8477972.0
2022-09-15,147.88,153.45,147.28,149.78,9792791.0
2022-09-16,145.23,145.63,141.35,144.29,10310726.0
2022-09-19,142.62,146.99,142.35,144.88,5150720.0
2022-09-20,145.26,147.67,143.9,145.94,6737550.0
2022-09-21,146.77,149.87,143.21,143.29,6244253.0
2022-09-22,143.13,143.7,138.29,138.71,6311829.0
2022-09-23,135.65,136.19,129.5,131.26,8927864.0
2022-09-26,129.77,132.45,126.88,127.34,7095145.0
2022-09-27,129.32,130.45,125.6,127.51,6682349.0
2022-09-28,128.04,133.89,127.4,133.44,10257202.0
2022-09-29,131.2,131.61,123.8,125.33,8905426.0
2022-09-30,123.14,125.48,120.99,121.08,8382981.0
2022-10-03,122.0,127.15,121.02,126.05,7962384.0
2022-10-04,129.4,133.57,129.33,133.51,7235737.0
2022-10-05,130.28,133.55,128.26,132.11,6268322.0
2022-10-06,131.13,133.31,129.74,132.2,4454674.0
2022-10-07,130.36,130.61,128.02,129.79,5097386.0
2022-10-10,131.42,135.74,130.2,131.9,6829914.0
2022-10-11,132.96,135.36,129.51,131.57,8508386.0
2022-10-12,128.43,131.34,127.86,130.42,6392973.0
2022-10-13,126.5,134.7,124.17,132.4,7842266.0
2022-10-14,135.59,136.41,131.37,133.15,6099656.0
2022-10-17,136.98,137.28,133.26,136.09,9073526.0
2022-10-18,139.0,139.42,135.22,137.34,6146349.0
2022-10-19,137.17,141.2,136.63,138.39,6321910.0
2022-10-20,138.36,141.88,138.36,139.13,4331680.0
2022-10-21,138.48,141.33,136.62,141.32,5451265.0
2022-10-24,142.85,142.88,139.28,142.05,5177845.0
2022-10-25,142.09,146.88,141.88,146.65,6515643.0
2022-10-26,147.05,150.14,132.21,133.79,29457730.0
2022-10-27,137.1,143.1,136.62,139.76,13754943.0
2022-10-28,141.16,144.73,139.93,143.84,7941087.0
2022-10-31,141.88,144.45,139.52,142.51,6212198.0
2022-11-01,143.99,145.25,141.84,143.38,5758566.0
2022-11-02,142.12,153.59,141.54,147.41,20241976.0
2022-11-03,148.79,158.69,147.5,156.75,16212571.0
2022-11-04,156.66,160.98,154.5,160.01,9396185.0
2022-11-07,161.4,166.7,160.63,164.91,10220309.0
2022-11-08,166.0,170.55,164.91,169.62,11274519.0
2022-11-09,169.29,171.62,166.86,168.74,8893769.0
2022-11-10,172.14,179.32,171.75,177.58,12374959.0
2022-11-11,176.4,178.03,172.99,177.49,8894308.0
2022-11-14,176.5,178.19,173.5,173.55,5598338.0
2022-11-15,175.49,176.69,172.75,175.35,7207867.0
2022-11-16,174.11,174.79,171.85,172.69,4438554.0
2022-11-17,169.3,173.15,168.52,172.78,4881887.0
2022-11-18,173.98,175.19,171.53,173.89,4693178.0
2022-11-21,172.53,174.72,171.12,172.94,3501842.0
2022-11-22,173.65,174.99,171.0,172.5,4370635.0
2022-11-23,172.09,175.0,171.77,174.85,3523516.0
2022-11-25,174.35,178.46,174.03,178.36,3476919.0
2022-11-28,176.17,177.14,171.7,171.83,5358932.0
2022-11-29,172.88,175.95,172.56,175.32,5077828.0
2022-11-30,178.0,179.98,174.2,178.88,6778734.0
2022-12-01,178.88,179.7,174.69,175.78,4517476.0
2022-12-02,173.12,183.45,172.85,182.87,10563839.0
2022-12-05,182.0,188.45,180.8,185.1,10456278.0
2022-12-06,184.01,184.79,177.01,178.43,8236878.0
2022-12-07,176.28,178.43,174.62,176.5,5871242.0
2022-12-08,179.32,184.88,178.61,179.08,6707652.0
2022-12-09,180.75,183.89,179.25,179.54,6359002.0
2022-12-12,180.8,186.69,180.5,186.27,8098395.0
2022-12-13,191.11,191.11,184.85,187.13,10975251.0
2022-12-14,187.33,189.67,185.41,188.25,5814881.0
2022-12-15,186.25,187.98,181.28,183.72,5347787.0
2022-12-16,182.79,186.61,181.3,184.7,7906778.0
